Title,District,Address,Beds,Baths,House size,Land size,Price
House for Rent Kandy,Kandy,"Kandy City, Kandy",2,1,"1,500.0 sqft",18.0 perches,"Rs 27,000"
House for Rent in Nittambuwa,Gampaha,"Nittambuwa,Gampaha",2,2,"1,000.0 sqft",11.0 perches,"Rs 26,000"
House for Rent in Trincomalee,Trincomalee,"Trincomalee City, Trincomalee",2,1,650.0 sqft,9.0 perches,"Rs 18,000"
House for Rent,Nuwara Eliya,"Nuwara Eliya City, Nuwara Eliya",3,1,"2,200.0 sqft",22.0 perches,"Rs 36,000"
House for Rent Kandy,Kandy,"Kandy City, Kandy",2,1,"1,200.0 sqft",12.0 perches,"Rs 23,000"
House Rent Colombo,Colombo,Dehiwala,4,1,850.0 sqft,4.0 perches,"Rs 50,000"
House Rent Jaffna,Jaffna,"Jaffna City, Jaffna",3,1,"2,200.0 sqft",22.0 perches,"Rs 28,000"
House Rent Anuradhapura,Anuradhapura,"Anuradhapura City, Anuradhapura",5,2,"2,800.0 sqft",34.0 perches,"Rs 50,000"
House for Rent in Padawala,Ampara,"Padawala,Ampara",4,1,"4,600.0 sqft",60.0 perches,"Rs 30,000"
House for Rent in Badulla,Badulla,"Badulla City, Badulla",3,1,"2,000.0 sqft",20.0 perches,"Rs 34,000"
House for Rent Kalutara,Kalutara,"Kalutara City, Kalutara",4,2,"2,500.0 sqft",25.0 perches,"Rs 40,000"
House for Rent in Godakawela,Ratnapura,"Epilipitiya Road, Godakawela",2,1,"1,600.0 sqft",14. 0 perches,"Rs 18,500"
House for Rent in Monaragala,Monaragala,"Monaragala City, Monaragala",2,2,"1,200.0 sqft",11.0 perches,"Rs 27,000"
House For Rent In Hambantota,Hambantota,"Beliatta, Hambantota",3,1,"2,200.0 sqft",22.0 perches,"Rs 28,000"
House for Rent Puttalam,Puttalam,"Puttalam City, Puttalam",3,1,"2,200.0 sqft",24.0 perches,"Rs 32,000"
House for Rent in Matale,Matale,"Matale City, Matale",3,1,"2,200.0 sqft",24.0 perches,"Rs 32,000"
House Rent Jaffna,Jaffna,"Jaffna City, Jaffna",4,1,"2,300.0 sqft",25.0 perches,"Rs 39,000"
Annex for Rent - Hambantota,Hambantota,"Mayurapura, Hambantota",2,1,600.0 sqft,8.0 perches,"Rs 15,000"
House for Rent Puttalam,Puttalam,"Puttalam City, Puttalam",3,1,"2,200.0 sqft",22.0 perches,"Rs 28,000"
House for Rent Ampara,Ampara,"Vinayagapuram,Ampara ",2,1,"1,150.0 sqft",18.5 perches,"Rs 18,000"
House Rent Anuradhapura,Anuradhapura,"Anuradhapura City, Anuradhapura",5,2,"2,700.0 sqft",28.0 perches,"Rs 42,000"
House for Rent in Badulla,Badulla,"Badulla City, Badulla",2,2,"1,200.0 sqft",13.0 perches,"Rs 28,000"
